Date,SP_Price,Open,High,Low,Vol.,Change %
20-Dec-18,"2,467.42","2,496.77","2,509.63","2,441.18",-,-1.58%
19-Dec-18,"2,506.96","2,547.05","2,585.29","2,488.96",-,-1.54%
18-Dec-18,"2,546.16","2,559.90","2,573.99","2,528.71",-,0.01%
17-Dec-18,"2,545.94","2,590.75","2,601.13","2,530.54",-,-2.08%
14-Dec-18,"2,599.95","2,629.68","2,635.07","2,593.84",-,-1.91%
13-Dec-18,"2,650.54","2,658.70","2,670.19","2,637.27",-,-0.02%
12-Dec-18,"2,651.07","2,658.23","2,685.44","2,650.26",-,0.54%
11-Dec-18,"2,636.78","2,664.44","2,674.35","2,621.30",-,-0.04%
10-Dec-18,"2,637.72","2,630.86","2,647.51","2,583.23",-,0.18%
7-Dec-18,"2,633.08","2,691.26","2,708.54","2,623.14",-,-2.33%
6-Dec-18,"2,695.95","2,663.51","2,696.15","2,621.53",-,-0.15%
4-Dec-18,"2,700.06","2,782.43","2,785.93","2,697.18",-,-3.24%
3-Dec-18,"2,790.37","2,790.50","2,800.18","2,773.38",-,1.09%
30-Nov-18,"2,760.17","2,737.76","2,760.88","2,732.76",-,0.82%
29-Nov-18,"2,737.76","2,736.97","2,753.75","2,722.94",-,-0.22%
28-Nov-18,"2,743.79","2,691.45","2,744.00","2,684.38",-,2.30%
27-Nov-18,"2,682.17","2,663.75","2,682.53","2,655.89",-,0.33%
26-Nov-18,"2,673.45","2,649.97","2,674.35","2,649.97",-,1.55%
23-Nov-18,"2,632.56","2,633.36","2,647.55","2,631.09",-,-0.66%
21-Nov-18,"2,649.93","2,657.74","2,670.73","2,649.82",-,0.30%
